",""source"",""target"",""type"",""weight"""
"245,""Kungs"",""Ephemerals"",""undirected"",1.42857142857143"
"246,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.37931034482759"
"247,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.25"
"248,""The Chainsmokers"",""Halsey"",""undirected"",1.17647058823529"
"249,""Zion & Lennox"",""J Balvin"",""undirected"",1.05263157894737"
"250,""Maluma"",""Fifth Harmony"",""undirected"",1.02564102564103"
"251,""Luis Fonsi"",""Daddy Yankee"",""undirected"",20"
"252,""Zayn Malik"",""Taylor Swift"",""undirected"",10"
"253,""Tini"",""Sebastián Yatra"",""undirected"",6.66666666666667"
"254,""The Weeknd"",""Daft Punk"",""undirected"",5"
"255,""The Chainsmokers"",""Emily Warren"",""undirected"",4"
"256,""Katy Perry"",""Skip Marley"",""undirected"",3.33333333333333"
"257,""Cédric Gervais"",""Chris Willis"",""undirected"",3.07692307692308"
"258,""Cédric Gervais"",""David Guetta"",""undirected"",3.07692307692308"
"259,""Chris Willis"",""David Guetta"",""undirected"",3.07692307692308"
"260,""Shakira"",""Maluma"",""undirected"",2.85714285714286"
"261,""Clean Bandit"",""Anne-Marie"",""undirected"",2.35294117647059"
"262,""Clean Bandit"",""Sean Paul"",""undirected"",2.35294117647059"
"263,""Anne-Marie"",""Sean Paul"",""undirected"",2.35294117647059"
"264,""Louis Tomlinson"",""Steve Aoki"",""undirected"",2.22222222222222"
"265,""David Guetta"",""Robin Schulz"",""undirected"",2.10526315789474"
"266,""David Guetta"",""Cheat Codes"",""undirected"",2.10526315789474"
"267,""Robin Schulz"",""Cheat Codes"",""undirected"",2.10526315789474"
"268,""Sean Paul"",""Dua Lipa"",""undirected"",2"
"269,""Maluma"",""Ricky Martin"",""undirected"",1.9047619047619"
"270,""Charly Black"",""Daddy Yankee"",""undirected"",1.81818181818182"
"271,""Ariana Grande"",""Nicki Minaj"",""undirected"",1.73913043478261"
"272,""Tiësto"",""Bright Sparks"",""undirected"",1.53846153846154"
"273,""Martin Solveig"",""Ina Wroldsen"",""undirected"",1.48148148148148"
"274,""Maroon 5"",""Kendrick Lamar"",""undirected"",1.37931034482759"
"275,""Kungs"",""Ephemerals"",""undirected"",1.25"
"276,""Martin Garrix"",""Bebe Rexha"",""undirected"",1.21212121212121"
